_ID,_VALUE,Comment:string,CN:string,CNT:string,EN:string,KR:string,TH:string,ID:string,PT:string
LOC_SERVER_HEROES_NAMECN_HERO_GOBLIN_2,78,,链锤哥布灵,鏈錘哥布靈,Chain Goblin,플레일 고블린,Goblin,Chain Goblin,Goblin com Corrente
LOC_SERVER_HEROES_NAMECN_HERO_RAYDRIC,79,,幽灵剑士,幽靈劍士,Raydric,레이드릭,Raydric,Raydric,Raydric
LOC_SERVER_HEROES_NAMECN_HERO_BON_GUN,80,,妖道,妖道,Bongun,본건,Bon_Gun,Bongun,Bongun
LOC_SERVER_HEROES_NAMECN_HERO_GOBLIN_1,81,,刺刀哥布林,刺刀哥布靈,Dagger Goblin,단검 고블린,Goblin,Dagger Goblin,Goblin com Adaga
LOC_SERVER_HEROES_NAMECN_HERO_KOBOLD_ARCHER,82,,犬妖弓箭手,犬妖弓箭手,Kobold Archer,코볼트 아쳐,Kobold Archer,Kobold Archer,Arqueiro Kobold
LOC_SERVER_HEROES_NAMECN_HERO_OBEAUNE,83,,人鱼,人魚,Obeaune,오본느,Obeaune,Obeaune,Obeaune
LOC_SERVER_HEROES_NAMECN_HERO_BARTLEY,84,,初心者巴特莱,初心者巴特萊,Novice Bartley,노비스 바틀러,Bartley,Novice Bartley,Bartley Aprendiz
LOC_SERVER_HEROES_NAMECN_HERO_TYRRHENIA,85,,初心者（女）塞尼亚,初心者（女）塞尼亞,Novice (F) Cenia,노비스(여) 세니아,Tyrrhenia,Novice (F) Cenia,Cenia Aprendiz (F)
LOC_SERVER_HEROES_NAMECN_HERO_PETIT,86,,毕帝特地龙,畢帝特地龍,Petite,쁘띠,Petit,Petite,Petite
LOC_SERVER_HEROES_NAMECN_HERO_VAGABOND_WOLF,87,,流浪之狼,流浪之狼,Vagabond Wolf ,떠돌이 늑대 ,Vagabond Wolf,Vagabond Wolf ,Lobo Errante 
LOC_SERVER_HEROES_NAMECN_HERO_KOBOLD_LEADER,88,,犬妖首领,犬妖首領,Kobold Leader,코볼트 리더,Kobold Leader,Kobold Leader,Líder Kobold
LOC_SERVER_HEROES_NAMECN_HERO_CAT_O_NINE_TAIL,89,,狂暴月夜猫,狂暴月夜貓,Cat O' Nine Tails,캣 오 나인 테일,Cat O Nine Tail,Cat O' Nine Tails,Gato de Nove Caudas
LOC_SERVER_HEROES_NAMECN_HERO_MINOROUS,90,,米洛斯,米洛斯,Minorous,마이너 우로스,Minorous,Minorous,Minorous
LOC_SERVER_HEROES_NAMECN_HERO_GOBLIN_LEADER,91,,哥布林首领,哥布靈首領,Goblin Leader,고블린 리더,Goblin Leader,Goblin Leader,Líder Goblin
LOC_SERVER_HEROES_NAMECN_HERO_HIGH_ORC,92,,兽人战士长,獸人戰士長,High Orc,하이 오크,High Orc,High Orc,Grand Orc
LOC_SERVER_HEROES_NAMECN_HERO_JAKK,93,,南瓜先生,南瓜先生,Jack-o'-lantern,잭,Jakk,Jack-o'-lantern,Jack da Lanterna
LOC_SERVER_HEROES_NAMECN_HERO_ANTONIO,94,,邪恶老公公,邪惡老公公,Antonio,안토니오,Antonio,Antonio,Antônio
LOC_SERVER_HEROES_NAMECN_HERO_SOHEE,95,,鬼女,鬼女,Sohee,소희,Sohee,Sohee,Sohee
LOC_SERVER_HEROES_NAMECN_HERO_MASTERING,96,,波利之王,波利之王,Mastering,마스터링,Mastering,Mastering,Mastering
LOC_SERVER_HEROES_NAMECN_HERO_MARC,97,,马克,馬克,Marc,마르크,Marc,Marc,Marc
LOC_SERVER_HEROES_NAMECN_HERO_DEVIRUCHI,98,,小恶魔,小惡魔,Deviruchi,데비루치,Deviruchi,Deviruchi,Deviruchi
LOC_SERVER_HEROES_NAMECN_HERO_GHOSTRING,99,,幽灵波利,幽靈波利,Ghostring,고스트링,Ghostring,Ghostring,Ghostring
LOC_SERVER_HEROES_NAMECN_HERO_WHISPER_BOSS,100,,巨大白幽灵,巨大白幽靈,Giant Whisper,자이언트 위스퍼,Whisper Boss,Giant Whisper,Sussurro Gigante
LOC_SERVER_HEROES_NAMECN_HERO_ISSUS,101,,剑士伊瑟斯,劍士伊瑟斯,Swordsman Issus,검사 이수스,Issus,Swordsman Issus,Espadachim Issus
LOC_SERVER_HEROES_NAMECN_HERO_VANESSA,102,,弓箭手温妮莎,弓箭手溫妮莎,Archer Vanessa,아쳐 바네사,Vanessa,Archer Vanessa,Arqueira Vanessa
LOC_SERVER_HEROES_NAMECN_HERO_HAROLD,103,,盗贼哈罗德,盜賊哈羅德,Thief Harold,씨프 해롤드,Harold,Thief Harold,Gatuno Harold
LOC_SERVER_HEROES_NAMECN_HERO_HELENA,104,,剑士海伦娜,劍士海倫娜,Swordswoman Helena,검사 헬레나,Helena,Swordswoman Helena,Espadachim Helena
LOC_SERVER_HEROES_NAMECN_HERO_DALEME,105,,服事黛儿蜜,服事黛兒蜜,Acolyte Delmi,어콜라이트 델미,Daleme,Acolyte Delmi,Noviço Delmi
LOC_SERVER_HEROES_NAMECN_HERO_GIORGILI,106,,魔法师乔吉莉,魔法師喬吉莉,Magician Gioli,매지션 지올리,Giorgili,Magician Gioli,Mago Gioli
LOC_SERVER_HEROES_NAMECN_HERO_DARK_ILLUSION,107,,迷幻之王,迷幻之王,Dark Illusion,다크일루젼,Dark Illusion,Dark Illusion,Ilusão das Trevas
LOC_SERVER_HEROES_NAMECN_HERO_ATROCE,108,,阿特罗斯,阿特羅斯,Atroce,아트로스,Atroce,Atroce,Atroz
LOC_SERVER_HEROES_NAMECN_HERO_LEIB_OLMAI,109,,狂暴大脚熊,狂暴大腳熊,Leib Olmai,레이브 올마이,Leib Olmai,Leib Olmai,Leib Olmai
LOC_SERVER_HEROES_NAMECN_HERO_GRYPHON,110,,狮鹫,獅鷲,Gryphon,그리폰,Gryphon,Gryphon,Grifo
LOC_SERVER_HEROES_NAMECN_HERO_NIGHTMARE_TERROR,111,,七彩梦魇,七彩夢魘,Nightmare Terror,나이트메어 테러,Nightmare Terror,Nightmare Terror,Pesadelo Sombrio
LOC_SERVER_HEROES_NAMECN_HERO_ORC_LORD,112,,兽人酋长,獸人酋長,Orc Lord,오크 로드,Orc Lord,Orc Lord,Senhor dos Orcs
LOC_SERVER_HEROES_NAMECN_HERO_WANDER_MAN,113,,邪骸浪人,邪骸浪人,Wanderer,배회하는 자,Wander Man,Wanderer,Andarilho
LOC_SERVER_HEROES_NAMECN_HERO_ALICE,114,,爱丽丝女仆,愛麗絲女僕,Maid Alice,엘리스 메이드,Alice,Maid Alice,Empregada Alice
LOC_SERVER_HEROES_NAMECN_HERO_LOLI_RURI,115,,银月魔女,銀月魔女,Loli Ruri,로리루리,Loli Ruri,Loli Ruri,Loli Ruri
LOC_SERVER_HEROES_NAMECN_HERO_OWL_BARON,116,,鹗枭男爵,鶚梟男爵,Owl Baron,아울 바론,Owl Baron,Owl Baron,Barão Coruja
LOC_SERVER_HEROES_NAMECN_HERO_DEVILING,117,,恶魔波利,惡魔波利,Deviling,데빌링,Deviling,Deviling,Deviling
LOC_SERVER_HEROES_NAMECN_HERO_MINI_DEMON,118,,狂暴小恶魔,狂暴小惡魔,Mini Demon,미니 데몬,Mini Demon,Mini Demon,Diabinho
LOC_SERVER_HEROES_NAMECN_HERO_GOLDEN_BUG,119,,黄金虫,黃金蟲,Golden Thief Bug,황금 도둑벌레,Golden_Bug,Golden Thief Bug,Besouro Ladrão Dourado
LOC_SERVER_HEROES_NAMECN_HERO_DELETER,120,,七彩地龙,七彩地龍,Ground Deleter,지상 딜리터,Deleter,Ground Deleter,Deletério
LOC_SERVER_HEROES_NAMECN_HERO_ANGELING,121,,天使波利,天使波利,Angeling,엔젤링,Angeling,Angeling,Angeling
LOC_SERVER_HEROES_NAMECN_HERO_DARK_LORD,122,,黑暗之王,黑暗之王,Dark Lord,다크 로드,Dark Lord,Dark Lord,Dark Lord
LOC_SERVER_HEROES_NAMECN_HERO_BAPHOMET,123,,巴风特,巴風特,Baphomet,바포메트,Baphomet,Baphomet,Bafomé
LOC_SERVER_HEROES_NAMECN_HERO_OSIRIS,124,,俄塞里斯,俄塞里斯,Osiris,오시리스,Osiris,Osiris,Osíris
LOC_SERVER_HEROES_NAMECN_HERO_EDDGA,125,,虎王,虎王,Eddga,에드가,Eddga,Eddga,Eddga
LOC_SERVER_HEROES_NAMECN_HERO_PHREEONI,126,,皮里恩,皮里恩,Phreeoni,프리오니,Phreeoni,Phreeoni,Phreeoni
LOC_SERVER_HEROES_NAMECN_HERO_DRAKE,127,,海盗之王,海盜之王,Drake,드레이크,Drake,Drake,Drake
LOC_SERVER_HEROES_NAMECN_HERO_DOPPELGANGER,128,,死灵,死靈,Doppelganger,도플갱어,Doppelganger,Doppelganger,Doppelganger
LOC_SERVER_HEROES_NAMECN_HERO_TURTLE_GENERAL,129,,乌龟将军,烏龜將軍,Turtle General,터틀 제네럴,Turtle General,Turtle General,General Tartaruga
LOC_SERVER_HEROES_NAMECN_HERO_ORK_HERO,130,,兽人英雄,獸人英雄,Orc Hero,오크 히어로,Ork Hero,Orc Hero,Orc Herói
LOC_SERVER_HEROES_NAMECN_HERO_MOONLIGHT,131,,月夜猫,月夜貓,Moonlight Flower,월야화,Moonlight,Moonlight Flower,Flor do Luar
LOC_SERVER_HEROES_NAMECN_HERO_GARM,132,,卡仑,卡侖,Hatii,하티,Garm,Hatii,Hatii
LOC_SERVER_HEROES_NAMECN_HERO_G_RANDGRIS,133,,巴基力,巴基力,Valkyrie,발키리,Randgris,Valkyrie,Valquíria
LOC_SERVER_HEROES_NAMECN_HERO_TAO_GUNKA,134,,塔奥群卡,塔奧群卡,Tao Gunka,타오군 카,Tao Gunka,Tao Gunka,Tao Gunka
LOC_SERVER_HEROES_NAMECN_HERO_MAYA,135,,蚁后,蟻后,Maya,마야,Maya,Maya,Maya
LOC_SERVER_HEROES_NAMECN_HERO_MISTRESS,136,,蜂后,蜂后,Mistress,미스트레스,Mistress,Mistress,Abelha-Rainha
LOC_SERVER_HEROES_NAMECN_HERO_SEYREN,137,,骑士领主赛依连,騎士領主賽依連,Lord Knight Seyren,로드나이트 세이렌,Seyren,Lord Knight Seyren,Lorde Cavaleiro Seyren
LOC_SERVER_HEROES_NAMECN_HERO_SHECI,138,,神射手迪文,神射手迪文,Sniper Cecil,셰실 디먼,Sheci,Sniper Cecil,Atirador de Elite Cecil
LOC_SERVER_HEROES_NAMECN_HERO_G_EREMES,139,,十字刺客艾勒梅斯,十字刺客艾勒梅斯,Assassin Cross Eremes,어쌔신 크로스 에르메스,Eremes,Assassin Cross Eremes,Algoz Eremes
LOC_SERVER_HEROES_NAMECN_HERO_G_RANDEL,140,,圣殿十字军兰达,聖殿十字軍蘭達,Paladin Randall,랜달로렌스,Randel,Paladin Randall,Randall Paladino
LOC_SERVER_HEROES_NAMECN_HERO_MAGALETA,141,,神官玛嘉雷特,神官瑪嘉雷特,High Priest Margaretha,마가레타 소린,Magaleta,High Priest Margaretha,Suma Sacerdotisa Margaretha
LOC_SERVER_HEROES_NAMECN_HERO_G_KATRINN,142,,超魔导师凯特莉娜,超魔導師凱特莉娜,High Wizard Kathryne,카트린느 케이론,Katrinn,High Wizard Kathryne,Arquimaga Kathryne
LOC_MAIL_GUILD_BOSS_PERSONAL_RANK_TITLE,143,公会boss邮件,MVP试炼个人排名奖励,MVP試煉個人排名獎勵,MVP Trial Personal Rank Reward,MVP 던전 개인 랭킹 보상,รางวัลอันดับท้าทายMVP(ส่วนตัว),Hadiah MVP Trial Personal Rank,Recompensa de ranque pessoal do teste MVP
LOC_MAIL_GUILD_BOSS_PERSONAL_NO_RANK_CONTENT_DISCARD,144,,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$
LOC_MAIL_GUILD_BOSS_PERSONAL_RANK_CONTENT_DISCARD,145,,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$,$$$$$$$$$$$$$$$$$$$$$$$
LOC_MAIL_GUILD_BOSS_GUILD_RANK_TITLE,146,,MVP试炼公会排名奖励,MVP試煉公會排名獎勵,MVP Trial Guild Rank Reward,MVP 던전 길드 랭킹 보상,รางวัลอันดับกิลด์ในท้าทายMVP,Hadiah MVP Trial Guild Rank,Recompensa de ranque de guilda do teste MVP
LOC_MAIL_GUILD_BOSS_GUILD_RANK_CONTENT,147,,您所在的公会在本周MVP试炼中获得第{0}名，获得如下奖励,您所在的公會在本周MVP試煉中獲得第{0}名，獲得以下獎勵,Your guild has been attained Rank {0} for this week's MVP Trial. You will receive the following.,소속 길드가 이번주 MVP 던전에서 {0}위에 올라 다음 보상을 획득합니다.,อาทิตย์นี้ในท้าทายMVP กิลด์ของคุณถึงอันดับ {0} คุณสามารถรับรางวัลได้ดังต่อไปนี้:,Guildmu telah berhasil mencapai Rank {0} di MVP Trial periode minggu ini. Kamu akan menerima hadiah sebagai berikut.,Sua guilda alcançou o ranque {0} do teste MVP desta semana. Você receberá as recompensas a seguir.
LOC_MAIL_CARD_REWARD_CONTENT,148,,你的奖励已发放，剩余{0}天，请及时领取。,你的月卡獎勵已發放，剩餘{0}天，請及時領取。,Reward issued. {0} d left. Please accept it immediately.,카프라 클럽 혜택이 지급됐습니다. 지금 바로 수령하세요! (혜택 수령 잔여 일수: {0}일),รางวัล Monthly Card ของคุณถูกส่งแล้ว เหลือ {0} วัน,Terkait Hadiah. {0} Hari tersisa. Harap segera klaim hadiahmu.,Recompensa enviada. {0} d restantes. Aceite imediatamente.
LOC_ARENA_DAILYREWARD_MAIL_BODY,149,,你在斗技场的精彩表现让观众十分兴奋，截至今日21：00，你的斗技场排名为【{0}】名。斗技场管理委员会决定授予你以下奖励：,你在競技場的精彩表現讓觀眾十分振奮，截至今日21：00，你的競技場排名為【{0}】名。競技場管理委員會決定授予你以下獎勵：,Everyone was impressed by your performance in the Arena! You maintained Arena Rank {0} until 9:00 p.m. today. The Arena Management Committee has sent you the following. ,아레나에서 멋진 실력을 보여 관객들이 환호했습니다. 오늘 21:00까지 아레나에서 【{0}】위를 유지했습니다. 아레나 관리위원회에서 다음 보상을 드립니다.,ทุกคนในอารีน่าทึ่งในความสามารถของคุณมาก! จะนับอันดับอารีน่าก่อน3ทุ่ม วันนี้อันดับคุณถึง【{0}】ผู้จัดการอารีน่าได้ส่งรางวัลให้คุณตามนี้:,Setiap orang telah terkesima dengan penampilanmu di Arena! Kamu berhasil meraih posisi {0} hingga puku 21:00 hari ini. Arena Management Committee telah mengirimkanmu beberapa hal sebagai berikut. ,Todos ficaram impressionados com o seu desempenho na Arena! Você manteve o ranque {0} na arena até as 21h de hoje. O comitê de administração da arena enviou as recompensas a seguir. 
LOC_PAN_EVENT_LUCKY_TURNTABLE_ANNOUNCEMENT_1,150,,恭喜！{0}抽中50%奖池获得{1}黄金波利！,恭喜！{0}抽中50%獎池獲得{1}黃金波利！,{0} has won 50% of the reward pool and obtained {1} GP!,{0}님이 50% 보상풀에 당첨되어 {1} 황금포링을 획득했습니다!,{0} ยินดีด้วย คุณได้รับ50%ของรางวัลทั้งหมดและได่รับ {1} GP!,Telah memenangkan 50% Total Hadiah sebanyak {0} dan berhasil mendapatkan {1} GP!,{0} obteve 50% da reserva de recompensas {1} PO!
LOC_MAIL_GUILD_BOSS_PERSONAL_NO_RANK_CONTENT,151,,由于您的公会成员成功击杀了MVP魔物，您将获得如下奖励,由於您的公會成員成功擊殺了MVP魔物，您將獲得以下獎勵,A guild member has killed the MVP monster. You will receive the following.,길드원이 MVP 몬스터를 처치하여 해당 길드원은 다음 보상을 획득합니다.,สมาชิกในกิลด์ถูกมอนสเตอร์MVPฆ่า คุณได้รับรางวัลตามนี้:,Anggota Guild telah berhasil mengalahkan MVP Monster. Kamu akan menerima hadiah sebagai berikut.,Um membro da guilda matou o monstro MVP. Você receberá as recompensas a seguir.
LOC_MAIL_GUILD_BOSS_PERSONAL_RANK_CONTENT,152,,您在本次MVP试炼中获得第{0}名，获得如下奖励,您在本次MVP試煉中獲得第{0}名，獲得以下獎勵,Attained Rank {0} for the latest MVP Trial. You will receive the following.,이번 MVP 던전에서 {0}위에 올라 다음 보상을 획득합니다.,คุณถึงอันดับ {0} ในท้าทายMVP คุณได้รับรางวัลตามนี้:,{0} Peringkat yang berhasil dicapai di MVP Trial terakhir. Kamu akan menerima hadiah sebagai berikut.,Ranque {0} alcançado no teste MVP mais recente. Você receberá as recompensas a seguir.
LOC_MAIL_SUPREME_CARD_REWARD_TITLE,153,,特典月卡礼包，剩余{0}天,特典月卡禮包，剩餘{0}天,"Supreme Card Gift, {0} d left",프리미엄 패스 혜택 - 혜택 수령 잔여 일수: {0}일 ,"Supreme Card Gift, เหลือ {0} วัน","Supreme Card Gift, {0} Hari tersisa","Presente de cartão supremo, {0} d restante(s)"
LOC_SUMMON_ARENA_START,154,,召唤师斗技大会正式开启！各位大人快来报名赢取豪华奖励吧~,召喚師鬥技大會正式開啟！各位大人快來報名贏取豪華獎勵吧~,"The Summoner Tournament has begun! Everyone, apply for it and get nice rewards!",소환사 리그의 새로운 시즌이 시작되었습니다! 참여하시어 멋진 보상을 획득하세요~,อัญเชิญดูเอลเปิดแล้ว！ทุกคนมาสมัครเพื่อรับรางวัลกันเถอะ~,Turnamen Summoner telah dimulai! Segeralah mendaftar dan dapatkan beragam hadiah menarik!,"O Torneio de Invocadores começou! Pessoal, inscrevam-se e recebam recompensas fantásticas!"
LOC_PRE_REG_MAIL_TITLE,155,,预注册奖励,兌換序號獎勵領取,Special Event Prizes,쿠폰 보상,รางวัลลงทะเบียนล่วงหน้า,Hadiah Event Spesial,Prêmios de evento especial
LOC_PRE_REG_MAIL_TEXT,156,,感谢您对我们的关注，请查收您的预注册奖励,此為兌換序號獲得的獎勵信件,Thank you for participating in this event. Here are the gifts that you get.,라그나로크 택틱스 쿠폰 보상입니다.,ขอบคุณที่สนใจเกมของเราค่ะ กรุณาเช็คของรางวัลด้วยนะคะ,Terima kasih telah berpastisipasi dalam event ini. Berikut adalah hadiah yang kamu dapatkan.,Obrigado por participar deste evento. Aqui estão alguns presentes que você obterá.
LOC_FRIENDS_BOSS_RANK_TITLE,157,好友boss邮件,宝藏搜寻伤害排行奖励,寶藏搜尋傷害排行獎勵,Treasure Hunt Damage Rank Reward,보물찾기 데미지 랭킹 보상,รางวัลอันดับDmgในการล่าสมบัติ,Hadiah Treasure Hunt Damage Rank,Recompensa de ranque de dano de caça ao tesouro
LOC_FRIENDS_BOSS_RANK_CONTENT_1,158,,恭喜玩家在{0}玩家遭遇的MVP战中造成{1}伤害，伤害排名第{2}，获得{3}个魔神之卵,恭喜玩家在{0}玩家遭遇的MVP戰中造成{1}傷害，傷害排名第{2}，獲得{3}個魔神之卵,Recorded Damage Rank {2} with {1} damage for {0}'s MVP battle and received {3} Essences of Morroc.,{0}님의 보물찾기 MVP전에서 총 {1} 데미지로 데미지 랭킹 {2}위에 올라 모로크의 알 {3}개를 획득하였습니다.,ยินดีด้วยกับผู้เล่น {1} ทำอันดับDmgในท้าทายMVP {0} ทำอันดับDmg {2} และได้รับ {3} Essence of Morroc,Recorded Damage Rank {2} dengan {1} damage dari {0} MVP Battle dan menerima {3} Essences of Morroc.,Ranque de dano {2} registrado com {1} de dano para a batalha MVP de {0} e {3} essências de Morroc recebidas.
LOC_FRIENDS_BOSS_RANK_CONTENT_2,159,,恭喜玩家在{0}玩家遭遇的MVP战中造成{1}伤害，伤害排名第{2}。（今日已获得超过10个魔神之卵，因此无法获得本次魔神之卵奖励。）,恭喜玩家在{0}玩家遭遇的MVP戰中造成{1}傷害，傷害排名第{2}。 （今日已獲得超過10個魔神之卵，因此無法獲得本次魔神之卵獎勵。）,Recorded Damage Rank {2} with {1} damage for {0}'s MVP battle. (10 Essences of Morroc daily limit reached. Can't get any reward this time.),{0}님의 보물찾기 MVP전에서 총 {1} 데미지로 데미지 랭킹 {2}위에 올랐습니다. (모로크의 알 일일 수령 가능 한도를 초과할 경우 보상이 지급되지 않습니다.),ยินดีด้วยกับผู้เล่น {1} ทำอันดับDmgในท้าทายMVP {0} ทำอันดับDmg {2} ,Recorded Damage Rank {2} dengan {1} damage dari {0} MVP Battle. (Batas menerima 10 Essences of Morroc per Hari telah tercapai. Tidak dapat menerima hadiah lagi.),Ranque de dano {2} registrado com {1} de dano para a batalha MVP de {0}. (Limite diário de 10 essências de Morroc atingido. Não é possível obter nenhuma recompensa desta vez.)
LOC_SPECIAL_BATTLE_REWARD_SERVER_1,160,投兵段位奖励邮件,召唤师竞技每日段位奖励,召喚師競技每日排名獎勵,Summoner Arena Daily Tier Reward,소환사 리그 일일 랭크 보상,รางวัลประจำวันในอัญเชิญดูเอล,Hadiah Harian Summoner Arena,Recompensa de grau diária na arena de invocadores
LOC_SPECIAL_BATTLE_REWARD_SERVER_2,161,,召唤师竞技每周段位奖励,召喚師競技每週排名獎勵,Summoner Arena Weekly Tier Reward,소환사 리그 주간 단계 보상,รางวัลประจำสัปดาห์ในอัญเชิญดูเอล,Hadiah Mingguan Summoner Arena,Recompensa de grau semanal na arena de invocadores
LOC_SPECIAL_BATTLE_REWARD_SERVER_3,162,,你在召唤师竞技中达到了{0}段位，为你发放如下奖励,你在召喚師競技中達到了{0}位階，為你發放以下獎勵,Reached Tier {0} for the Summoner Arena. You will receive the following.,소환사 리그에서 {0}단계를 달성하여 다음 보상이 지급됩니다.,อันดับของคุณถึงอันดับ {0} ในอัญเชิญดูเอล และได้รับรางวัลตามนี้,Telah berhasil mencapai Tier {0} di Summoner Arena. Kamu akan menerima hadiah sebagai berikut.,Grau {0} alcançado na arena de invocadores. Você receberá as recompensas a seguir.
LOC_SPECIAL_BATTLE_REWARD_SERVER_4,163,,召唤师竞技管理员,召喚師競技管理員,Summoner Arena Admin,소환사 리그 관리자,ผู้บริหารอารีน่า,Summoner Arena Admin,Administrador da arena de invocadores
LOC_GUILD_BATTLE_REWARD_SERVER_RANK_TITLE,164,梦罗克之战邮件奖励 ,公会战公会排名奖励,公會戰公會排名獎勵,Guild War Rank Rewards,길드전 랭킹 보상,รางวัลอันดับกิลด์วอร์,Hadiah Guild War Rank,Recompensas de ranque na Guerra de Guildas
LOC_GUILD_BATTLE_REWARD_SERVER_SIGNATURE,165,,公会战管理员,公會戰管理員,Guild War Administrator,길드전 관리자,ผู้จัดการกิลด์วอร์,Guild War Administrator,Administrador da Guerra de Guildas
LOC_GUILD_BATTLE_REWARD_SERVER_CHAMPION,166,,您所在的公会在本次公会战中获得冠军，您将获得如下奖励,您所在的公會在本次公會戰中獲得冠軍，您將獲得如下獎勵,Your guild won Champion in this Guild War. You will get rewards as below.,"소속 길드가 이번 길드전에서 1위를 하여, 다음 보상을 획득합니다.",กิลด์ของคุณเป็นแชมป์เปี้ยนในกิลด์วอร์ครั้งนี้ และได้รับรางวัลตามนี้,Guild mu telah menjadi juara di dalam Guild War. Kamu akan menerima hadiah sebagai berikut.,Sua guilda é a campeã desta Guerra de Guildas. Você receberá recompensas conforme abaixo.
LOC_GUILD_BATTLE_REWARD_SERVER_RUNNER_UP,167,,您所在的公会在本次公会战中获得亚军，您将获得如下奖励,您所在的公會在本次公會戰中獲得亞軍，您將獲得如下獎勵,Your guild won Runner-up in this Guild War. You will get rewards as below.,"소속 길드가 이번 길드전에서 2위를 하여, 다음 보상을 획득합니다.",กิลด์ของคุณได้รองชนะเลิศในกิลด์วอร์ครั้งนี้ และได้รับรางวัลตามนี้,Guild mu telah menjadi juara ke-2 di dalam Guild War. Kamu akan menerima hadiah sebagai berikut.,Sua guilda é a vice-campeã desta Guerra de Guildas. Você receberá recompensas conforme abaixo.
LOC_GUILD_BATTLE_REWARD_SERVER_RANKED,168,,您所在的公会在本次公会战中获得{0}强，您将获得如下奖励,您所在的公會在本次公會戰中獲得{0}強，您將獲得如下獎勵,Your guild won Top {0} in this Guild War. You will get rewards as below.,"소속 길드가 이번 길드전에서 {0}강에 올라, 다음 보상을 획득합니다.",กิลด์ของคุณอยู่ในท้อป {0} ของกิลด์วอร์ครั้งนี้ และได้รับรางวัลตามนี้,Guild mu telah menjadi Top {0} di dalam Guild War. Kamu akan menerima hadiah sebagai berikut.,Sua guilda está entre as {0} melhores desta Guerra de Guildas. Você receberá recompensas conforme abaixo.
LOC_GUILD_BATTLE_REWARD_SERVER_REGULAR_SEASON_VICTORY,169,,您所在的公会在本次公会战常规赛中获得胜利，您将获得如下奖励,您所在的公會在本次公會戰常規賽中獲得勝利，您將獲得如下獎勵,Your guild won Regular Season battle in this Guild War. You will get rewards as below.,"소속 길드가 이번 정규전에서 승리를 획득하여, 다음 보상을 획득합니다.",กิลด์ของคุณชนะการแข่งขันรอบธรรมดาของกิลด์วอร์ และได้รับรางวัลตามนี้,Guild mu telah memenangkan Regular Season Battle di dalam Guild War. Kamu akan menerima hadiah sebagai berikut.,Sua guilda venceu a batalha de temporada regular desta Guerra de Guildas. Você receberá recompensas conforme abaixo.
LOC_GUILD_BATTLE_REWARD_SERVER_REGULAR_SEASON_PARTICIPATION,170,,您所在的公会参与了本次公会战，您将获得如下奖励,您所在的公會參與了本次公會戰，您將獲得如下獎勵,Your guild joined this Guild War. You will get rewards as below.,"소속 길드가 이번 길드전에 참여하여, 다음 보상을 획득합니다.",กิลด์คุณเข้าร่วมกิลด์วอร์ ได้รับรางวัลตามนี้,Guild mu telah bergabung ke dalam Guild War. Kamu akan menerima hadiah sebagai berikut.,Você participou desta Guerra de Guildas. Você receberá recompensas conforme abaixo.
LOC_MOL_PURCHASE_TITLE,171,,恭喜您成功购买商品,恭喜您成功購買商品,Purchase  successfully.,아이템 구매에 성공했습니다.,ซื้อสำเร็จ,Berhasil Melakukan Pembelian.,Compra realizada.
LOC_MOL_PURCHASE_SENDER,172,,Kafra Corp.,卡普拉商會,Kafra Corp.,Kafra Corp.,Kafra Corp.,Kafra Corp.,Corporação Kafra.
LOC_MOL_PURCHASE_TEXT,173,,请领取您的商品，多谢惠顾~,請領取您的商品，多謝惠顧~,Please claim your items. Thank you~,아이템을 수령하세요. 방문해 주셔서 감사합니다~,กรุณากดรับรางวัลด้วยค่ะ ขอบคุณค่ะ~,Harap segera klaim item milikmu. Terima Kasih~,Reivindique seus itens. Obrigado!
LOC_PINNACLE_ARENA_REWARD_SERVER_SIGNATURE,174,巅峰斗技场邮件奖励 ,巅峰斗技场管理员,巔峰鬥技場管理員,Peak Arena Admin,최후의 아레나 관리자,ผู้จัดการ Pinnacle Arena,Pinnacle Arena Manager,Administrador da Arena do Ápice
LOC_PINNACLE_ARENA_REWARD_RANK_REWARD_TITLE,175,,巅峰斗技场段位奖励,巔峰鬥技場段位獎勵,Peak Arena Rank Rewards,최후의 아레나 단계 보상,รางวัล Pinnacle Arena,Hadiah Pinnacle Arena Rank,Recompensas de ranque da Arena do Ápice
